City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,1,US,1592330932,43,42.1,-79.24,22.78,2.1
1,rikitea,22,PF,1592331041,81,-23.12,-134.97,24.14,5.74
2,ushuaia,40,AR,1592331041,81,-54.8,-68.3,3.0,2.1
3,puerto ayora,40,EC,1592331041,61,-0.74,-90.35,26.0,8.2
4,vila,51,PT,1592331042,74,42.03,-8.16,16.67,4.02
5,thompson,75,CA,1592330585,40,55.74,-97.86,23.0,5.7
6,upernavik,20,GL,1592331042,94,72.79,-56.15,0.17,3.82
7,yellowknife,40,CA,1592331030,58,62.46,-114.35,15.0,12.3
8,kapaa,90,US,1592330931,94,22.08,-159.32,23.0,8.2
9,yamethin,100,MM,1592331042,84,20.43,96.15,25.3,5.49
10,khatanga,100,RU,1592331042,64,71.97,102.5,10.33,5.77
11,pangai,38,TO,1592331042,67,-19.8,-174.35,23.23,10.61
12,grindavik,75,IS,1592331043,76,63.84,-22.43,9.0,5.7
13,skovorodino,0,RU,1592331043,75,53.98,123.92,8.93,1.97
14,raahe,1,FI,1592331043,48,64.68,24.48,19.0,5.1
15,isangel,2,VU,1592331043,80,-19.55,169.27,22.95,5.59
16,punta arenas,16,CL,1592331043,86,-53.15,-70.92,4.0,5.7
17,biloela,32,AU,1592331043,92,-24.42,150.5,14.55,4.41
18,axim,76,GH,1592331043,84,4.87,-2.24,26.44,5.21
19,new norfolk,7,AU,1592331043,80,-42.78,147.06,5.0,1.34
20,kapoeta,25,SS,1592331044,52,4.77,33.59,27.7,2.23
21,castro,49,BR,1592331044,64,-24.79,-50.01,20.73,2.62
22,kodiak,90,US,1592330949,87,57.79,-152.41,10.0,5.1
23,paamiut,78,GL,1592331044,78,61.99,-49.67,2.87,0.76
24,carnarvon,0,AU,1592330928,38,-24.87,113.63,15.0,3.1
25,sao filipe,4,CV,1592331044,78,14.9,-24.5,25.45,4.67
26,port elizabeth,0,ZA,1592331044,82,-33.92,25.57,16.0,4.1
27,kapit,99,MY,1592330946,93,2.02,112.93,23.76,0.2
28,iqaluit,90,CA,1592331045,64,63.75,-68.51,4.0,3.1
29,bambous virieux,40,MU,1592330926,78,-20.34,57.76,22.0,5.1
30,taksimo,72,RU,1592331045,83,56.34,114.88,15.37,1.46
31,lebu,100,CL,1592331045,88,-37.62,-73.65,11.96,7.05
32,belmonte,40,BR,1592331045,69,-15.86,-38.88,26.0,4.1
33,gobabis,0,NA,1592331045,36,-22.45,18.97,11.31,4.94
34,filingue,21,NE,1592331045,13,14.35,3.32,42.29,2.11
35,saint-francois,77,FR,1592330992,52,46.42,3.91,21.0,3.1
36,namibe,0,AO,1592331046,60,-15.2,12.15,23.15,2.52
37,hobart,5,AU,1592331046,65,-42.88,147.33,5.56,3.6
38,port blair,100,IN,1592331046,81,11.67,92.75,28.6,7.04
39,hermanus,0,ZA,1592331046,79,-34.42,19.23,13.33,3.09
40,port-gentil,40,GA,1592331046,88,-0.72,8.78,25.0,5.1
41,comodoro rivadavia,45,AR,1592330892,44,-45.87,-67.5,15.0,14.9
42,guerrero negro,54,MX,1592331046,61,27.98,-114.06,21.43,6.27
43,busselton,91,AU,1592331047,58,-33.65,115.33,13.89,7.69
44,wenzhou,80,CN,1592331047,74,28.0,120.67,28.09,0.53
45,georgetown,20,MY,1592330625,94,5.41,100.34,28.0,1.06
46,san patricio,20,MX,1592331047,74,19.22,-104.7,30.0,5.1
47,necochea,100,AR,1592331047,83,-38.55,-58.74,15.56,1.79
48,ulaangom,14,MN,1592331047,67,49.98,92.07,15.63,1.73
49,bethel,1,US,1592330806,50,41.37,-73.41,25.56,0.89
50,codrington,78,AU,1592331047,67,-38.27,141.97,10.07,2.8
51,tokur,98,RU,1592331047,91,53.13,132.9,2.77,1.38
52,camana,67,PE,1592331048,68,-16.62,-72.71,18.78,3.26
53,mar del plata,90,AR,1592330924,93,-38.0,-57.56,16.67,3.1
54,sal rei,35,CV,1592331048,74,16.18,-22.92,29.0,3.6
55,fortuna,90,US,1592330938,72,40.6,-124.16,17.78,4.1
56,albany,0,US,1592331045,33,42.6,-73.97,27.22,0.93
57,houma,1,US,1592330963,58,29.6,-90.72,32.22,2.6
58,plettenberg bay,0,ZA,1592331048,78,-34.05,23.37,14.74,1.84
59,mataura,94,NZ,1592330926,81,-46.19,168.86,8.65,2.38
60,tuktoyaktuk,75,CA,1592330928,54,69.45,-133.04,15.0,7.2
61,ilulissat,40,GL,1592330764,45,69.22,-51.1,7.0,3.1
62,longyearbyen,20,SJ,1592331049,60,78.22,15.64,5.0,4.1
63,panzhihua,87,CN,1592331049,66,26.59,101.71,25.47,2.1
64,hithadhoo,0,MV,1592331049,76,-0.6,73.08,29.25,4.29
65,aklavik,90,CA,1592331049,45,68.22,-135.01,17.0,4.1
66,tabou,75,CI,1592331049,83,4.42,-7.35,26.24,4.38
67,avarua,5,CK,1592330923,68,-21.21,-159.78,22.0,3.6
68,acarau,17,BR,1592331050,68,-2.89,-40.12,29.71,5.14
69,east london,19,ZA,1592331050,66,-33.02,27.91,16.98,4.45
70,barrow,1,US,1592331050,74,71.29,-156.79,3.0,7.2
71,samarinda,45,ID,1592331050,97,-0.5,117.15,23.31,0.88
72,laurel,40,US,1592330995,46,39.1,-76.85,23.89,4.6
73,baykit,81,RU,1592331050,83,61.67,96.37,6.5,0.92
74,saint-pierre,90,RE,1592331051,72,-21.34,55.48,20.0,3.6
75,cherskiy,51,RU,1592331051,45,68.75,161.3,20.15,2.31
76,suclayin,11,PH,1592331051,85,15.76,121.55,24.95,1.27
77,kavieng,85,PG,1592331051,69,-2.57,150.8,28.79,3.83
78,caborca,0,MX,1592331051,28,30.58,-111.1,36.11,1.34
79,ola,2,RU,1592331051,77,59.58,151.28,9.14,1.58
80,batagay-alyta,52,RU,1592331052,70,67.8,130.41,13.06,2.1
81,touros,75,BR,1592331052,83,-5.2,-35.46,26.0,3.6
82,tilichiki,0,RU,1592331052,84,60.47,166.1,5.67,1.88
83,pevek,28,RU,1592331052,69,69.7,170.31,6.89,0.75
84,esperance,28,AU,1592331052,66,-33.87,121.9,12.0,7.2
85,cape town,0,ZA,1592330952,71,-33.93,18.42,14.0,1.0
86,port alfred,25,ZA,1592331053,88,-33.59,26.89,13.89,1.79
87,vestmannaeyjar,75,IS,1592331053,76,63.44,-20.27,10.0,6.2
88,nouadhibou,0,MR,1592331053,45,20.93,-17.03,29.0,5.7
89,bredasdorp,0,ZA,1592331053,93,-34.53,20.04,12.0,1.57
90,nata,75,PA,1592331053,57,8.33,-80.52,29.0,3.1
91,qaanaaq,65,GL,1592331053,72,77.48,-69.36,4.53,0.83
92,erzincan,20,TR,1592330795,36,39.75,39.5,25.0,5.7
93,timizart,75,DZ,1592331054,49,36.8,4.27,21.92,2.67
94,naze,75,JP,1592331054,100,28.37,129.48,25.0,3.1
95,hasaki,20,JP,1592330989,88,35.73,140.83,19.0,3.6
96,carutapera,6,BR,1592330983,76,-1.2,-46.02,29.18,2.85
97,afantou,20,GR,1592331054,61,36.29,28.16,27.0,2.6
98,roebourne,0,AU,1592331055,42,-20.78,117.13,22.18,3.75
99,kavaratti,100,IN,1592331055,79,10.57,72.64,29.37,8.61
100,arraial do cabo,40,BR,1592330928,64,-22.97,-42.03,24.0,3.6
101,geraldton,0,AU,1592331055,40,-28.77,114.6,12.0,6.7
102,mahebourg,40,MU,1592330927,78,-20.41,57.7,22.0,5.1
103,mount gambier,40,AU,1592330984,100,-37.83,140.77,6.0,2.1
104,poum,4,NC,1592331044,75,-20.23,164.02,23.22,6.0
105,nanortalik,100,GL,1592331056,88,60.14,-45.24,4.03,4.72
106,erzin,0,TR,1592331056,81,36.96,36.2,23.33,2.18
107,yulara,0,AU,1592331056,38,-25.24,130.99,6.0,3.6
108,bluff,79,NZ,1592331056,72,-46.6,168.33,12.64,7.4
109,artyom,0,AZ,1592331057,73,40.47,50.33,24.0,5.1
110,roma,1,US,1592330884,38,43.21,-75.46,24.44,1.5
111,salalah,75,OM,1592331057,79,17.02,54.09,31.0,3.6
112,nikolskoye,100,RU,1592331057,83,59.7,30.79,24.44,1.0
113,uarini,40,BR,1592331057,83,-2.99,-65.11,29.0,2.6
114,tiksi,24,RU,1592331057,65,71.69,128.87,9.43,3.27
115,wewak,93,PG,1592331057,82,-3.55,143.63,26.04,1.26
116,karia,1,NG,1592331058,21,11.73,11.16,36.95,3.84
117,popondetta,100,PG,1592331058,97,-8.75,148.25,22.97,1.24
118,sur,11,OM,1592331058,57,22.57,59.53,32.45,6.12
119,kropotkin,83,RU,1592331058,77,45.44,40.58,23.05,2.02
120,buin,90,CL,1592331058,66,-33.73,-70.75,13.0,1.0
121,tahta,0,EG,1592331058,8,26.77,31.5,38.0,7.2
122,hilo,90,US,1592330869,88,19.73,-155.09,22.78,2.1
123,verkhnevilyuysk,72,RU,1592331059,65,63.45,120.32,15.49,1.86
124,vardo,40,NO,1592330965,61,70.37,31.11,8.0,11.8
125,banjar,20,ID,1592331059,94,-8.19,114.97,28.0,5.1
126,charters towers,78,AU,1592331060,84,-20.1,146.27,17.39,5.37
127,zambezi,0,ZM,1592331060,48,-13.54,23.1,16.86,2.49
128,aasiaat,30,GL,1592331060,83,68.71,-52.87,2.3,4.14
129,souillac,40,MU,1592330937,78,-20.52,57.52,22.0,5.1
130,nabire,12,ID,1592331045,84,-3.37,135.48,23.34,1.82
131,leningradskiy,0,RU,1592331060,76,69.38,178.42,8.51,2.96
132,butembo,67,CD,1592331060,99,0.15,29.28,14.65,1.23
133,darhan,83,MN,1592331061,78,49.49,105.92,13.99,4.19
134,porto novo,40,BJ,1592331061,79,6.5,2.6,29.0,5.7
135,rocky mountain house,77,CA,1592330846,47,52.37,-114.92,17.49,1.64
136,chokurdakh,20,RU,1592331062,37,70.63,147.92,23.27,2.82
137,ngunguru,10,NZ,1592331062,84,-35.62,174.5,13.89,3.48
138,yar-sale,90,RU,1592331062,60,66.83,70.83,6.68,2.5
139,booue,98,GA,1592331062,87,-0.09,11.94,24.53,1.46
140,myatlevo,1,RU,1592331062,60,54.9,35.68,23.0,2.0
141,horsham,20,GB,1592331063,49,51.06,-0.33,22.0,2.1
142,ponta do sol,75,PT,1592331063,94,32.67,-17.1,21.0,3.1
143,deep river,1,CA,1592331063,46,46.1,-77.5,24.44,3.6
144,tasiilaq,75,GL,1592330966,86,65.61,-37.64,3.0,8.2
145,charleston,40,US,1592330900,78,32.78,-79.93,22.0,6.2
146,doka,100,SD,1592331063,54,13.52,35.77,29.4,1.97
147,chuy,19,UY,1592331064,77,-33.7,-53.46,19.48,3.69
148,dauphin,1,CA,1592331064,29,51.15,-100.05,26.0,7.7
149,faanui,66,PF,1592330961,82,-16.48,-151.75,26.4,5.22
150,dikson,98,RU,1592330924,95,73.51,80.55,0.14,6.24
151,astoria,20,US,1592331064,82,46.19,-123.83,14.44,3.6
152,amapa,50,BR,1592331065,93,1.0,-52.0,26.68,2.16
153,amazar,95,RU,1592331065,68,53.86,120.88,11.2,2.39
154,sitka,75,US,1592331033,81,57.05,-135.33,11.0,4.6
155,enshi,85,CN,1592331065,84,30.3,109.48,24.92,0.75
156,plouzane,33,FR,1592331065,77,48.38,-4.62,16.0,3.1
157,eirunepe,10,BR,1592330823,47,-6.66,-69.87,32.68,1.89
158,bima,34,ID,1592331066,88,-8.47,118.72,23.57,2.04
159,honningsvag,75,NO,1592330975,81,70.98,25.97,6.0,8.7
160,palmer,40,US,1592331066,29,42.16,-72.33,26.11,2.93
161,lagoa,0,PT,1592331066,80,39.05,-27.98,18.34,5.35
162,sioux lookout,75,CA,1592331066,61,50.1,-91.92,26.0,2.6
163,saint-philippe,90,RE,1592331067,72,-21.36,55.77,20.0,3.6
164,portales,1,US,1592331067,36,34.19,-103.33,29.44,7.7
165,tonj,15,SS,1592331067,58,7.27,28.68,26.84,1.68
166,goderich,0,CA,1592331067,57,43.75,-81.72,21.11,2.97
167,kautokeino,5,NO,1592331068,41,69.01,23.04,14.06,4.22
168,coahuayana,75,MX,1592331068,69,18.73,-103.68,28.0,3.1
169,siyabuswa,74,ZA,1592331068,60,-25.11,29.04,11.98,2.99
170,kharp,100,RU,1592331068,70,66.8,65.81,4.78,3.43
171,mount hagen,99,PG,1592331068,91,-5.86,144.23,14.15,0.33
172,champerico,40,GT,1592331043,79,14.3,-91.92,30.0,4.1
173,cabo san lucas,20,MX,1592331069,45,22.89,-109.91,32.22,3.1
174,atambua,55,ID,1592331069,89,-9.11,124.89,21.7,2.56
175,freeport,1,US,1592330820,38,40.66,-73.58,25.0,4.6
176,hindaun,91,IN,1592331069,21,26.72,77.02,37.2,3.84
177,hwange,6,ZW,1592331070,57,-18.37,26.5,14.62,0.46
178,datong,100,CN,1592331070,42,40.09,113.29,21.01,3.65
179,muisne,20,EC,1592330964,79,0.6,-80.03,29.0,3.1
180,kundian,0,PK,1592331070,8,32.46,71.48,37.74,1.66
181,mendeleyevsk,3,RU,1592331070,55,55.91,52.29,19.0,4.0
182,ancud,98,CL,1592331070,87,-41.87,-73.82,11.0,5.1
183,clyde river,75,CA,1592331070,74,70.47,-68.59,2.0,2.6
184,ribeira grande,20,PT,1592331071,60,38.52,-28.7,22.0,6.2
185,san juan,0,AR,1592331071,26,-31.54,-68.54,18.56,6.21
186,morondava,0,MG,1592331071,71,-20.28,44.28,24.29,6.27
187,cururupu,7,BR,1592331071,58,-1.83,-44.87,30.76,3.25
188,aban,1,RU,1592331072,75,56.67,96.06,7.1,1.47
189,tommot,0,RU,1592331072,84,58.96,126.29,9.96,1.37
190,faya,20,SA,1592331072,44,18.39,42.45,26.0,3.6
191,victoria,0,HK,1592330254,74,22.29,114.16,27.78,3.58
192,morlaix,100,FR,1592331072,77,48.58,-4.0,16.11,1.5
193,cockburn town,99,TC,1592331073,79,21.46,-71.14,28.07,7.84
194,katsuura,2,JP,1592331073,73,35.13,140.3,22.0,3.6
195,moranbah,33,AU,1592331073,74,-22.0,148.05,15.05,6.9
196,lompoc,39,US,1592330930,72,34.64,-120.46,18.33,5.7
197,koumac,0,NC,1592331074,80,-20.57,164.28,20.82,1.89
198,tukrah,0,LY,1592331074,79,32.53,20.58,21.63,3.88
199,ostrovnoy,95,RU,1592331074,65,68.05,39.51,6.71,7.95
200,havre-saint-pierre,75,CA,1592331075,55,50.23,-63.6,17.0,8.2
201,okha,95,RU,1592331075,94,53.57,142.95,2.48,2.45
202,ulladulla,0,AU,1592331075,66,-35.35,150.47,13.0,5.1
203,kudahuvadhoo,1,MV,1592331075,76,2.67,72.89,28.93,3.45
204,lang son,55,VN,1592331075,92,21.83,106.73,24.39,2.93
205,chapleau,40,CA,1592331075,31,47.84,-83.4,24.0,5.7
206,grand forks,75,US,1592331076,36,47.93,-97.03,33.0,9.8
207,kortkeros,90,RU,1592331076,93,61.81,51.58,15.0,4.0
208,mareeba,40,AU,1592331076,83,-17.0,145.43,22.0,5.7
209,kholm,80,RU,1592331076,84,59.27,32.85,21.4,1.2
210,pacific grove,1,US,1592330793,67,36.62,-121.92,17.22,5.1
211,banda aceh,90,ID,1592331033,66,5.56,95.32,27.74,2.89
212,jackson,90,US,1592330869,62,42.42,-122.83,15.0,2.6
213,belaya gora,11,RU,1592331077,39,68.53,146.42,21.52,2.45
214,aranos,0,NA,1592331077,38,-24.13,19.12,9.13,4.53
215,riyadh,17,SA,1592331048,19,24.69,46.72,38.0,5.07
216,flinders,5,AU,1592331077,72,-34.58,150.86,12.78,0.45
217,hofn,68,IS,1592330944,68,64.25,-15.21,10.54,2.24
218,atuona,2,PF,1592330950,76,-9.8,-139.03,27.02,9.16
219,deshnok,0,IN,1592331078,10,27.8,73.34,39.58,3.16
220,vaini,75,TO,1592331078,68,-21.2,-175.2,22.0,4.1
221,lasa,75,IT,1592331078,55,46.62,10.7,16.0,3.6
222,kaputa,0,ZM,1592331078,42,-8.47,29.66,20.09,0.98
223,san cristobal,20,VE,1592331078,52,7.77,-72.22,32.0,3.1
224,kununurra,0,AU,1592331079,28,-15.77,128.73,24.0,3.6
225,kalmunai,100,LK,1592331079,69,7.42,81.82,28.84,1.58
226,hami,0,CN,1592331079,16,42.8,93.45,27.85,2.54
227,gat,0,IL,1592330820,74,31.61,34.76,25.56,4.14
228,tura,100,IN,1592331080,95,25.52,90.22,24.06,2.83
229,aktash,31,RU,1592331080,84,50.3,87.73,6.04,0.19
230,paita,20,PE,1592331080,61,-5.09,-81.11,27.0,9.3
231,vila velha,75,BR,1592331081,78,-20.33,-40.29,24.0,5.7
232,plastun,100,RU,1592331081,89,44.76,136.29,9.15,0.74
233,noumea,0,NC,1592330745,93,-22.28,166.46,15.0,0.5
234,butaritari,28,KI,1592331081,80,3.07,172.79,28.31,6.52
235,skjervoy,20,NO,1592331081,75,70.03,20.97,8.0,4.1
236,sterling,75,US,1592330871,46,39.01,-77.43,24.44,6.7
237,okato,100,NZ,1592331082,50,-39.2,173.88,14.44,1.34
238,norman wells,75,CA,1592331082,63,65.28,-126.83,16.0,9.8
239,tautira,40,PF,1592331082,74,-17.73,-149.15,27.0,5.1
240,luderitz,0,NA,1592331083,15,-26.65,15.16,24.0,1.0
241,kruisfontein,0,ZA,1592331083,92,-34.0,24.73,11.58,2.84
242,albanel,75,CA,1592331083,24,48.88,-72.45,27.0,4.1
243,san jose,20,US,1592330816,52,37.34,-121.89,21.67,3.1
244,malanje,0,AO,1592331083,34,-9.54,16.34,18.84,1.29
245,tevaitoa,77,PF,1592331083,80,-16.78,-151.5,26.89,5.57
246,portland,75,US,1592331021,87,45.52,-122.68,15.56,3.6
247,kaitangata,100,NZ,1592331084,85,-46.28,169.85,9.04,1.98
248,zalari,52,RU,1592331084,85,53.56,102.51,10.92,3.46
249,talnakh,75,RU,1592331084,86,69.49,88.4,5.0,4.0
250,gao,0,ML,1592331085,6,16.64,1.64,43.13,3.19
251,cidreira,1,BR,1592331085,81,-30.18,-50.21,18.66,4.99
252,buje,75,HR,1592331085,64,45.41,13.66,23.0,1.5
253,osa,60,RU,1592331085,86,57.28,55.46,15.92,3.44
254,dali,65,CN,1592331086,84,25.7,100.18,18.15,2.64
255,dalbandin,6,PK,1592331086,10,28.89,64.41,32.72,2.6
256,upata,91,VE,1592331086,91,8.01,-62.4,26.11,0.45
257,santa cruz del sur,100,CU,1592331087,57,20.71,-78.0,31.82,3.58
258,ambanja,77,MG,1592331087,86,-13.68,48.45,21.47,1.33
259,tongliao,10,CN,1592331087,49,43.61,122.27,21.38,5.3
260,smithers,75,CA,1592331087,66,54.78,-127.17,12.0,1.5
261,obidos,15,BR,1592331065,70,-1.92,-55.52,29.49,2.81
262,saint george,1,US,1592330833,18,37.1,-113.58,31.67,12.3
263,kikwit,0,CD,1592331088,41,-5.04,18.82,24.66,0.62
264,jacqueville,20,CI,1592331088,83,5.21,-4.41,28.0,5.7
265,laguna,1,US,1592331088,40,38.42,-121.42,24.44,3.1
266,daru,100,PG,1592331070,83,-9.08,143.21,25.77,7.65
267,saldanha,0,ZA,1592331088,62,-33.01,17.94,14.0,1.5
268,pumiao,0,CN,1592331088,88,22.75,108.48,26.0,1.0
269,koshurnikovo,2,RU,1592331088,93,54.17,93.3,5.69,1.5
270,sinnamary,64,GF,1592331089,77,5.38,-52.95,28.15,4.36
271,chara,56,RU,1592331089,74,56.91,118.26,13.2,1.47
272,lorengau,62,PG,1592331089,74,-2.02,147.27,27.9,3.04
273,englewood,75,US,1592331089,12,39.65,-104.99,32.78,8.2
274,provideniya,63,RU,1592331089,51,64.38,-173.3,12.4,0.65
275,buraydah,33,SA,1592331089,18,26.33,43.98,38.0,2.6
276,carson city,20,US,1592331090,20,39.16,-119.77,22.0,6.2
277,altay,66,CN,1592331090,45,47.87,88.12,18.57,2.91
278,karratha,0,AU,1592331090,44,-20.74,116.85,21.56,3.6
279,georgiyevka,20,KZ,1592331090,59,43.04,74.71,19.0,3.0
280,severo-kurilsk,91,RU,1592330949,90,50.68,156.12,5.25,5.2
281,castelnau-le-lez,98,FR,1592331090,36,43.63,3.9,26.0,6.2
282,inirida,34,CO,1592331091,87,3.87,-67.92,27.64,0.87
283,broken hill,90,AU,1592331091,76,-31.95,141.43,10.0,2.1
284,vila franca do campo,40,PT,1592331091,77,37.72,-25.43,20.0,8.2
285,richards bay,51,ZA,1592331091,85,-28.78,32.04,15.32,1.09
286,alofi,34,NU,1592331091,73,-19.06,-169.92,21.0,5.1
